Date,High_ALGRE.PA,Low_ALGRE.PA,Open_ALGRE.PA,Close_ALGRE.PA,Volume_ALGRE.PA
2014-11-03,57.14285659790039,57.14285659790039,57.14285659790039,57.14285659790039,0
2014-11-04,57.14285659790039,57.14285659790039,57.14285659790039,57.14285659790039,1
2014-11-05,57.14285659790039,57.14285659790039,57.14285659790039,57.14285659790039,4
2014-11-06,57.14285659790039,57.14285659790039,57.14285659790039,57.14285659790039,0
2014-11-07,57.14285659790039,57.14285659790039,57.14285659790039,57.14285659790039,1
2014-11-10,57.14285659790039,57.14285659790039,57.14285659790039,57.14285659790039,0
2014-11-11,57.14285659790039,57.14285659790039,57.14285659790039,57.14285659790039,0
2014-11-12,57.14285659790039,57.14285659790039,57.14285659790039,57.14285659790039,0
2014-11-13,57.14285659790039,57.14285659790039,57.14285659790039,57.14285659790039,4
2014-11-14,57.14285659790039,57.14285659790039,57.14285659790039,57.14285659790039,3
2014-11-17,57.14285659790039,57.14285659790039,57.14285659790039,57.14285659790039,10
2014-11-18,57.14285659790039,57.14285659790039,57.14285659790039,57.14285659790039,0
2014-11-19,57.14285659790039,57.14285659790039,57.14285659790039,57.14285659790039,10
2014-11-20,57.14285659790039,57.14285659790039,57.14285659790039,57.14285659790039,0
2014-11-21,57.14285659790039,57.14285659790039,57.14285659790039,57.14285659790039,0
2014-11-24,67.14286041259766,67.14286041259766,67.14286041259766,67.14286041259766,3
2014-11-25,67.14286041259766,67.14286041259766,67.14286041259766,67.14286041259766,0
2014-11-26,67.14286041259766,67.14286041259766,67.14286041259766,67.14286041259766,0
2014-11-27,80.0,80.0,80.0,80.0,3
2014-11-28,80.0,80.0,80.0,80.0,0
2014-12-01,80.0,80.0,80.0,80.0,0
2014-12-02,94.28571319580078,94.28571319580078,94.28571319580078,94.28571319580078,0
2014-12-03,94.28571319580078,94.28571319580078,94.28571319580078,94.28571319580078,2
2014-12-04,102.85713958740234,102.85713958740234,102.85713958740234,102.85713958740234,2
2014-12-05,106.28571319580078,106.28571319580078,106.28571319580078,106.28571319580078,1
2014-12-08,106.28571319580078,106.28571319580078,106.28571319580078,106.28571319580078,0
2014-12-09,106.28571319580078,106.28571319580078,106.28571319580078,106.28571319580078,0
2014-12-10,116.85713958740234,116.85713958740234,116.85713958740234,116.85713958740234,2
