Date,High_TECH,Low_TECH,Open_TECH,Close_TECH,Volume_TECH
2000-01-03,7.382812976837158,6.828125,7.0625,7.265625,2340000
2000-01-04,7.09375,6.6875,7.09375,6.851562976837158,1873600
2000-01-05,6.914062976837158,6.71875,6.828125,6.75,2765600
2000-01-06,6.835937976837158,6.390625,6.777344226837158,6.507812976837158,757600
2000-01-07,6.703125,6.453125,6.488280773162842,6.496094226837158,1299200
2000-01-10,7.554687976837158,6.632812976837158,6.796875,7.367187976837158,2983200
2000-01-11,7.9375,7.421875,7.421875,7.640625,2792800
2000-01-12,7.796875,7.484375,7.578125,7.796875,2112800
2000-01-13,7.875,7.609375,7.8125,7.863280773162842,1543200
2000-01-14,8.789063453674316,7.875,7.882812976837158,8.390625,2606400
2000-01-18,8.578125,8.3125,8.34765625,8.40625,2392000
2000-01-19,8.679688453674316,8.25,8.414063453674316,8.640625,1453600
2000-01-20,8.742188453674316,8.359375,8.664063453674316,8.49609375,1084000
2000-01-21,8.429688453674316,8.132813453674316,8.382813453674316,8.328125,1025600
2000-01-24,8.46875,8.21875,8.273438453674316,8.445313453674316,834400
2000-01-25,8.5,8.0,8.375,8.44140625,1052800
2000-01-26,8.484375,8.125,8.429688453674316,8.195313453674316,519200
2000-01-27,8.265625,7.960937976837158,8.140625,8.0625,495200
2000-01-28,8.015625,7.40625,7.921875,7.574219226837158,1099200
2000-01-31,7.828125,7.40625,7.5625,7.796875,1492000
2000-02-01,8.046875,7.625,7.773437976837158,8.01953125,1143200
2000-02-02,7.984375,7.65625,7.984375,7.84375,164000
2000-02-03,8.046875,7.6875,7.898437976837158,8.015625,1232800
2000-02-04,8.03125,7.734375,7.945312976837158,7.859375,489600
2000-02-07,8.039063453674316,7.851562976837158,7.90625,8.0,976800
2000-02-08,8.625,8.1875,8.21875,8.375,1588000
2000-02-09,8.4375,8.046875,8.40625,8.21875,1386400
2000-02-10,8.710938453674316,8.21875,8.25,8.703125,2529600
2000-02-11,9.03125,8.6875,8.69140625,8.820313453674316,2944000
2000-02-14,9.5,8.921875,8.921875,8.992188453674316,3002400
2000-02-15,9.453125,9.0,9.1875,9.34375,1857600
2000-02-16,9.703125,9.328125,9.375,9.453125,1649600
2000-02-17,10.25,9.296875,9.445313453674316,10.039063453674316,2161600
2000-02-18,10.1875,8.9375,9.703125,9.242188453674316,2331200
2000-02-22,9.421875,8.5,9.296875,9.085938453674316,1194400
2000-02-23,9.265625,8.65625,9.125,9.06640625,1473600
2000-02-24,9.8125,9.125,9.140625,9.75,1030400
2000-02-25,9.632813453674316,9.3125,9.5,9.515625,1078400
2000-02-28,10.26953125,9.59375,9.59375,10.26953125,2280000
2000-02-29,10.953125,10.4375,10.484375,10.72265625,2032000
2000-03-01,11.3125,10.75,10.976563453674316,11.046875,2674400
2000-03-02,11.0625,10.039063453674316,11.03125,10.39453125,863200
2000-03-03,10.65625,10.28125,10.52734375,10.445313453674316,1289600
2000-03-06,11.171875,10.375,10.515625,11.125,1124800
2000-03-07,11.117188453674316,10.25,11.0,10.265625,1335200
2000-03-08,10.484375,9.640625,10.28125,10.125,1462400
2000-03-09,10.25,9.8125,10.1875,10.039063453674316,556800
2000-03-10,10.0625,9.1875,10.033203125,9.640625,758400
2000-03-13,9.640625,8.84375,9.5625,9.0,1145600
2000-03-14,9.1875,8.117188453674316,9.09375,8.203125,1902400
2000-03-15,8.484375,8.0,8.25,8.195313453674316,1000800
2000-03-16,9.5625,8.242188453674316,8.375,9.382813453674316,1520000
2000-03-17,9.960938453674316,8.25,9.50390625,8.98828125,1314400
2000-03-20,9.625,8.59375,9.171875,8.703125,3347200
2000-03-21,9.52734375,8.5,8.664063453674316,9.52734375,1213600
2000-03-22,10.125,9.125,9.578125,10.125,1315200
2000-03-23,10.21875,9.4375,10.15625,9.453125,607200
2000-03-24,10.03125,9.640625,9.66796875,9.796875,988000
2000-03-27,10.0,9.375,9.992188453674316,9.757813453674316,751200
2000-03-28,9.953125,8.875,9.820313453674316,8.875,860800
2000-03-29,9.21875,8.140625,8.953125,8.390625,1085600
2000-03-30,8.375,7.570312976837158,8.1875,8.09375,1630400
2000-03-31,9.25,8.085938453674316,8.085938453674316,8.625,890400
2000-04-03,9.0625,7.375,8.742188453674316,7.5,900000
2000-04-04,8.59375,7.4375,7.609375,8.585938453674316,1581600
2000-04-05,8.875,7.8125,8.265625,8.640625,1113600
