Date,High_NXPI,Low_NXPI,Open_NXPI,Close_NXPI,Volume_NXPI
2010-08-06,14.079999923706055,12.989999771118164,13.0,14.0,10678500
2010-08-09,14.0,13.699999809265137,14.0,14.0,1819500
2010-08-10,13.84000015258789,13.579999923706055,13.770000457763672,13.600000381469727,1579300
2010-08-11,13.380000114440918,12.449999809265137,13.25,12.75,2588200
2010-08-12,12.510000228881836,12.100000381469727,12.260000228881836,12.390000343322754,1780300
2010-08-13,12.529999732971191,11.850000381469727,12.25,12.0,957600
2010-08-16,12.229999542236328,11.6899995803833,11.789999961853027,11.779999732971191,551600
2010-08-17,12.300000190734863,11.75,11.859999656677246,12.220000267028809,1086700
2010-08-18,12.600000381469727,12.0,12.079999923706055,12.0,1010600
2010-08-19,12.100000381469727,11.3100004196167,11.949999809265137,11.550000190734863,746000
2010-08-20,11.5,11.029999732971191,11.449999809265137,11.149999618530273,450600
2010-08-23,11.5,10.460000038146973,11.279999732971191,10.979999542236328,761800
2010-08-24,11.300000190734863,10.5,10.760000228881836,10.680000305175781,746700
2010-08-25,11.130000114440918,10.229999542236328,10.5,10.75,1112200
2010-08-26,11.149999618530273,10.800000190734863,10.9399995803833,11.0,581400
2010-08-27,11.489999771118164,10.989999771118164,11.149999618530273,11.109999656677246,370900
2010-08-30,11.270000457763672,11.010000228881836,11.010000228881836,11.100000381469727,226900
2010-08-31,11.229999542236328,10.869999885559082,11.010000228881836,11.079999923706055,236000
2010-09-01,11.949999809265137,10.760000228881836,11.079999923706055,11.729999542236328,412800
2010-09-02,11.90999984741211,11.079999923706055,11.079999923706055,11.869999885559082,98500
2010-09-03,12.319999694824219,11.579999923706055,11.899999618530273,11.890000343322754,231400
2010-09-07,12.359999656677246,11.779999732971191,12.0,12.029999732971191,468400
2010-09-08,12.180000305175781,11.420000076293945,11.489999771118164,12.15999984741211,1483700
2010-09-09,12.630000114440918,11.510000228881836,12.210000038146973,11.899999618530273,235600
2010-09-10,12.130000114440918,11.8100004196167,11.979999542236328,11.979999542236328,362900
